x,y,date,sample_type,animal,sex,sample_name
531048,-107382,2009-03-17,Tissue,170,M,AP.084T
604960,-176832,2009-04-07,Tissue,175,M,AP.0851
602109,-164464,2009-05-01,Tissue,172,F,AP.084X
641508,-165714,2009-05-02,Decomposing Tissue,174,M,AP.0850
684866,7164,2009-05-17,Tissue,185,F,AP.085J
642878,-166683,2009-06-04,Decomposing Tissue,163,F,AP.0845
632704,-164087,2009-06-21,Tissue,154,M,AP.083T
501150,48530,2009-08-21,Tissue,290,M,AP.08EK
508250,-42030,2009-09-11,Tissue,171,M,AP.084U
718571,-251578,2009-09-21,Tissue,159,F,AP.0841
444705,69632,2009-10-11,Tissue,034,M,6LU
483000,25350,2009-10-23,Tissue,158,M,AP.0840
446440,54490,2009-11-07,Tissue,292,F,C0H
444705,69632,2009-11-10,Tissue,310,F,EAM
548458,-69944,2009-11-22,Tissue,160,M,AP.0842
553906,-62943,2009-11-22,Tissue,137,F,AP.081K
498803,21101,2009-11-23,Tissue,184,F,AP.085H
472500,26500,2009-12-03,Decomposing Tissue,183,F,AP.085F
636165,-165753,2009-12-08,Tissue,162,F,AP.0844
431030,68410,2009-12-16,Tissue,312,F,F0X
633031,-163387,2009-12-31,Decomposing Tissue,161,F,AP.0843
632704,-164087,2010-01-11,Tissue,206,M,AP.086Y
507318,48179,2010-01-14,Hair,716,F,CY.12ET
501242,22080,2010-01-16,Tissue,168,M,AP.084J
549891,-114499,2010-01-24,Tissue,234,F,AP.0888
594717,-107514,2010-02-11,Tissue,147,F,AP.0827
498344,-33266,2010-02-19,Tissue,217,M,AP.087H
650145,-176325,2010-02-19,Tissue,248,M,AP.08A0
488064,46838,2010-02-25,Tissue,031,M,54E
487971,46598,2010-02-25,Tissue,037,M,74F
497363,-53175,2010-02-25,Tissue,215,F,AP.087E
471108,19118,2010-02-25,Tissue,176,M,AP.0852
419712,48365,2010-04-01,Scat,693,M,AU.0C6C
419664,48462,2010-04-01,Scat,694,M,AU.0C70
415129,48776,2010-04-23,Saliva,656,F,AH.03MK
415129,48776,2010-04-23,Saliva,657,M,AH.03MT
439250,44635,2014-12-22,Saliva,657,M,EX.1JKT
455047,52902,2010-05-17,Scat,687,M,AU.0AUH
459663,54377,2010-05-28,Scat,691,F,AU.0C3M
421342,43596,2010-06-03,Hair,309,F,CY.12EL
464481,35094,2010-07-10,Scat,683,F,AU.0ALU
468942,44304,2010-07-18,Blood,674,F,AM.07FM
462293,37050,2010-08-21,Blood,676,F,AP.07Y3
444481,60121,2015-09-15,Scat,676,F,M1TAL
469136,27583,2010-08-22,Scat,685,F,AU.0AME
461024,41341,2010-08-26,Scat,684,F,AU.0AMA
594027,-150566,2010-09-15,Decomposing Tissue,150,M,AP.0836
594027,-150566,2010-09-15,Decomposing Tissue,257,M,AP.08AE
554368,-39387,2010-10-15,Tissue,205,M,AP.086X
420247,46360,2010-10-19,Scat,690,F,AU.0C24
538593,-103304,2010-10-19,Tissue,211,F,AP.0875
415083,48769,2010-10-20,Blood,293,M,CE.0JPU
481410,53240,2010-10-21,Tissue,289,M,AP.08E8
402390,111610,2010-10-22,Tissue,288,M,AP.08E7
507423,-34818,2010-10-25,Tissue,220,M,AP.087L
638538,-181651,2010-10-27,Tissue,212,M,AP.0878
638538,-181651,2010-10-27,Tissue,216,M,AP.087F
497742,20361,2010-10-27,Tissue,264,M,AP.08AP
678492,-187294,2010-10-29,Tissue,207,M,AP.0870
598995,-173170,2010-11-05,Tissue,222,F,AP.087P
583803,-118613,2010-11-05,Tissue,240,F,AP.088K
585640,-100780,2010-11-05,Tissue,258,M,AP.08AF
591713,-121198,2010-11-09,Tissue,223,M,AP.087T
569658,-67296,2010-11-13,Tissue,225,M,AP.087X
635102,-166531,2010-11-15,Tissue,208,F,AP.0871
558849,-69004,2010-11-15,Tissue,246,M,AP.088X
456352,63121,2010-11-15,Tissue,285,M,AP.08E3
684676,-194898,2010-11-16,Tissue,238,M,AP.088F
508113,-5997,2010-11-16,Tissue,247,F,AP.088Y
512192,23689,2010-11-19,Tissue,266,F,AP.08AU
486101,3417,2010-11-21,Tissue,214,M,AP.087C
420250,46738,2010-11-26,Scat,692,M,AU.0C58
493679,12675,2010-11-26,Tissue,267,M,AP.08AX
657571,-195563,2010-11-28,Tissue,243,F,AP.088P
505264,40279,2010-12-03,Urine,672,F,AL.068T
459993,56661,2010-12-11,Tissue,281,F,AP.08CX
548963,-45342,2010-12-12,Tissue,224,M,AP.087U
498262,-6855,2010-12-12,Tissue,268,M,AP.08AY
448046,46858,2010-12-12,Tissue,284,M,AP.08E2
454493,55353,2010-12-19,Tissue,282,F,AP.08CY
454493,55353,2010-12-19,Tissue,283,M,AP.08E1
429316,126457,2010-12-21,Urine,039,M,AL.06H1
599241,-171068,2010-12-26,Tissue,209,M,AP.0872
489622,63309,2010-12-28,Urine,040,M,AL.06H8
-4847,-5374,2011-01-01,Tissue,149,M,AP.082K
492854,-30122,2011-01-08,Tissue,252,F,AP.08A5
613331,-130630,2011-01-10,Tissue,221,F,AP.087M
488000,46800,2011-01-12,Tissue,287,M,AP.08E6
501060,55530,2011-01-17,Tissue,286,M,AP.08E5
480676,76015,2011-01-25,Scat,686,F,AU.0APF
442654,50752,2011-01-25,Tissue,280,M,AP.08CP
604000,5000,2011-01-30,Tissue,218,M,AP.087J
544256,-48202,2011-02-02,Tissue,236,F,AP.088C
589309,-119919,2011-02-07,Tissue,219,M,AP.087K
485838,55476,2011-02-08,Scat,689,F,AU.0C0X
476017,58633,2014-02-17,Scat,689,F,EF.15PT
481435,56920,2014-07-30,Saliva,689,F,EX.1JME
472324,56398,2015-08-18,Saliva,689,F,EX.1JHC
472564,57068,2015-08-26,Saliva,689,F,EX.1JJH
488310,47338,2015-09-07,Saliva,689,F,EX.1JE3
488349,47048,2015-09-19,Saliva,689,F,EX.1JA3
489043,46940,2015-09-23,Saliva,689,F,EX.1JA1
472858,55984,2015-09-24,Saliva,689,F,EX.1J8K
455623,72648,2011-02-11,Urine,671,M,AL.068M
482527,52145,2011-02-19,Scat,688,M,AU.0C0M
453090,52062,2011-02-23,Urine,673,M,AL.06AM
579058,-115091,2011-02-26,Tissue,213,M,AP.087A
599241,-171068,2011-02-26,Tissue,232,M,AP.0886
599241,-171068,2011-02-26,Tissue,126,M,AP.080U
567959,-77550,2011-03-01,Tissue,251,M,AP.08A4
-4219,-3080,2011-03-07,Tissue,279,F,AP.08CK
587447,-164705,2011-03-13,Tissue,260,F,AP.08AJ
558162,38346,2011-03-19,Tissue,210,M,AP.0874
410808,61330,2011-03-29,Saliva,655,F,AH.03HM
624325,-173381,2011-03-31,Tissue,253,F,AP.08A6
419775,48653,2011-05-06,Direct Saliva,654,M,AH.03HA
470106,67000,2011-05-06,Scat,680,M,AU.0AEK
618775,-136401,2011-05-15,Decomposing Tissue,255,M,AP.08AA
502938,55811,2011-06-08,Scat,681,F,AU.0AJ0
509526,38748,2011-06-10,Scat,682,M,AU.0AJ7
428961,75076,2011-06-23,Direct Saliva,652,F,AH.038A
421479,47421,2011-06-29,Scat,679,F,AU.0AEF
419071,44413,2011-07-17,Direct Saliva,653,M,AH.038C
439244,63534,2011-07-26,Scat,678,F,AU.0AEA
475503,59611,2011-08-27,Direct Saliva,651,M,AH.0388
419484,47756,2011-10-11,Tissue,272,M,AP.08C4
615567,-131243,2011-10-16,Tissue,056,F,AP.07M8
446143,55557,2011-10-17,Tissue,277,F,AP.08CE
552162,-55597,2011-10-21,Tissue,227,M,AP.0881
650613,-166388,2011-10-23,Tissue,261,F,AP.08AK
548113,-65186,2011-10-30,Tissue,259,F,AP.08AH
587091,-114504,2011-10-31,Tissue,230,M,AP.0884
494732,-29087,2011-11-02,Tissue,235,M,AP.088A
463278,50186,2011-11-03,Tissue,245,F,AP.088U
586420,7917,2011-11-04,Tissue,269,M,AP.08C0
495379,-17886,2011-11-06,Tissue,241,F,AP.088L
587344,-116385,2011-11-07,Decomposing Tissue,050,F,AP.07M2
574843,-126806,2011-11-07,Tissue,239,M,AP.088J
581763,-68131,2011-11-12,Tissue,047,F,AP.07LY
670696,-184999,2011-11-13,Tissue,052,F,AP.07M4
421200,46570,2011-11-14,Tissue,274,F,AP.08C6
591876,-169090,2011-11-19,Tissue,058,M,AP.07MC
498262,-6855,2011-11-19,Tissue,233,M,AP.0887
688582,-218050,2011-11-20,Tissue,231,M,AP.0885
667167,-199061,2011-11-20,Tissue,256,F,AP.08AC
606933,-118594,2011-11-28,Tissue,059,M,AP.07ME
577486,-75969,2011-11-30,Tissue,055,M,AP.07M7
675487,-190865,2011-12-04,Tissue,244,F,AP.088T
500971,28419,2011-12-07,Tissue,262,M,AP.08AL
479240,75915,2011-12-10,Tissue,276,M,AP.08CA
480020,73710,2011-12-11,Tissue,271,F,AP.08C3
486169,4651,2011-12-18,Tissue,237,M,AP.088E
606933,-118594,2011-12-26,Tissue,265,M,AP.08AT
456284,57045,2011-12-27,Scat,709,M,AX.0E5T
598605,-115316,2011-12-27,Tissue,249,M,AP.08A1
458035,39774,2012-01-07,Tissue,054,M,AP.07M6
596257,-123457,2012-01-27,Tissue,263,F,AP.08AM
541429,-101191,2012-01-29,Tissue,229,M,AP.0883
429688,70848,2012-01-29,Tissue,270,F,AP.08C2
414683,48452,2012-01-31,Tissue,275,M,AP.08C8
596714,-127160,2012-02-03,Tissue,254,M,AP.08A8
430662,76412,2012-02-14,Scat,677,F,AU.0ACC
430779,71275,2012-02-14,Scat,710,M,AX.0E7C
488103,66799,2012-02-15,Scat,706,F,AX.0E4X
487590,76680,2012-02-23,Tissue,278,M,AP.08CF
443733,52617,2012-02-24,Scat,708,M,AX.0E5K
448568,70918,2012-02-26,Tissue,273,F,AP.08C5
508407,-49681,2012-03-06,Scat,702,F,AX.0CYK
484225,30950,2012-03-09,Tissue,250,F,AP.08A3
632704,-164087,2012-03-11,Decomposing Tissue,242,F,AP.088M
626932,-171805,2012-03-17,Tissue,297,F,CH.0LLP
429947,73416,2012-04-17,Scat,705,M,AX.0E48
490280,60309,2012-04-20,Saliva,806,F,EE.156X
506000,57537,2016-04-11,Scat,806,F,M1U8X
504828,57081,2016-04-27,Scat,806,F,M1UA8
498791,56408,2016-07-08,Scat,806,F,M20LC
505600,38270,2016-12-06,Scat,806,F,M1THM
462701,36797,2012-05-22,Scat,703,F,AX.0E0L
445217,44289,2015-04-25,Saliva,703,F,EX.1JKA
444877,55041,2012-05-23,Scat,707,F,AX.0E55
430263,63602,2012-05-30,Direct Saliva,649,M,AH.02UE
430260,63609,2012-05-30,Direct Saliva,650,M,AH.02UH
566302,-95202,2012-06-13,Tissue,049,M,AP.07M1
457575,57100,2012-06-17,Scat,704,M,AX.0E1E
586945,-115200,2012-06-22,Decomposing Tissue,051,F,AP.07M3
503803,54904,2012-07-02,Scat,660,M,AX.0E1C
509455,47985,2015-07-20,Scat,660,M,M1K1M
506358,50468,2015-07-20,Scat,660,M,M1K1P
497815,60709,2016-01-04,Urine,660,M,AL.05PK
501044,52482,2016-01-05,Urine,660,M,M225Y
496790,60297,2016-01-19,Urine,660,M,M225T
497254,60340,2016-01-19,Urine,660,M,M225X
496928,62098,2016-02-11,Urine,660,M,M21LH
497444,60273,2016-02-11,Urine,660,M,M21LJ
496492,58207,2016-02-12,Urine,660,M,M21LC
490608,66405,2016-03-04,Urine,660,M,M225H
490608,66405,2016-03-04,Urine,660,M,M225J
487160,64170,2016-03-06,Scat,660,M,M1TPM
487110,64100,2016-03-06,Urine,660,M,M225F
489220,65290,2017-01-04,Urine,660,M,M204T
487540,67577,2017-01-05,Urine,660,M,M2053
490200,63660,2017-01-05,Urine,660,M,M2273
488498,66038,2017-01-05,Scat,660,M,M227F
497450,56400,2017-01-12,Urine,660,M,M2047
499300,59600,2017-01-14,Scat,660,M,M2231
498427,57462,2017-01-25,Scat,660,M,M227P
483640,62710,2017-01-26,Urine,660,M,M201U
502150,39050,2017-02-11,Scat,660,M,M1YY5
505843,44056,2017-02-25,Urine,660,M,M1YXC
504742,54279,2012-07-05,Direct Saliva,723,F,EE.156M
462525,35047,2012-07-16,Blood,675,M,AM.07FP
443635,59494,2012-09-02,Saliva,828,M,AX.0CFA
487680,76680,2012-10-11,Tissue,203,F,AP.086J
780621,79804,2012-10-12,Tissue,294,M,CH.0LLE
441279,56568,2012-10-13,Saliva,698,F,AX.0CF2
453427,84976,2014-11-02,Saliva,698,F,EE.14C3
502078,-23913,2012-10-22,Scat,711,M,AY.0F1M
586420,7917,2012-10-26,Tissue,193,F,AP.0860
571353,-140123,2012-10-28,Tissue,192,M,AP.085Y
422360,44040,2012-10-29,Tissue,308,F,CH.0LY5
432050,90700,2012-10-30,Tissue,189,F,AP.085T
543200,-52500,2012-10-30,Tissue,196,M,AP.0863
525500,-102581,2012-11-01,Tissue,190,F,AP.085U
472162,41103,2012-11-03,Tissue,199,F,AP.0867
544000,-66900,2012-11-04,Tissue,191,M,AP.085X
496887,-50961,2012-11-10,Tissue,195,F,AP.0862
416594,48458,2012-11-11,Tissue,200,F,AP.086E
444043,46876,2012-11-11,Tissue,201,M,AP.086F
594027,-150566,2012-11-28,Tissue,194,M,AP.0861
493679,12675,2012-12-06,Tissue,198,M,AP.0866
426852,62879,2012-12-07,Tissue,202,M,AP.086H
673276,-183082,2012-12-09,Tissue,197,F,AP.0864
466180,59760,2012-12-10,Scat,699,M,AX.0CTF
472585,66850,2014-09-17,Saliva,699,M,EE.14AL
455534,54085,2015-08-20,Scat,699,M,M0PAU
453259,54155,2015-09-11,Scat,699,M,M10UY
417919,49111,2012-12-11,Urine,665,F,AL.05YH
422359,47462,2012-12-11,Urine,666,M,AL.05YP
429445,65961,2012-12-13,Urine,668,M,AL.0611
420716,46065,2017-01-16,Urine,668,M,M204F
419400,49200,2017-01-20,Urine,668,M,M1YY2
423682,47226,2012-12-13,Urine,669,M,AL.061F
512995,80304,2014-12-23,Scat,669,M,WA594
512668,79560,2015-02-03,Scat,669,M,M20U2
512684,79601,2015-02-03,Scat,669,M,M20U3
512878,79823,2015-02-10,Scat,669,M,M20U0
512878,79823,2015-02-10,Scat,669,M,WA606
423859,46760,2012-12-13,Scat,700,F,AX.0CTH
486815,72490,2012-12-24,Tissue,204,F,AP.086L
505100,36225,2012-12-27,Tissue,307,F,CH.0LM6
505200,36250,2012-12-27,Tissue,298,F,CH.0LLT
651053,-178019,2012-12-30,Tissue,305,F,CH.0LM4
638538,-181651,2013-01-04,Tissue,301,M,CH.0LLY
582367,-157302,2013-01-06,Tissue,302,F,CH.0LM1
-5125,-5808,2013-01-19,Urine,038,M,AL.060M
597291,-130308,2013-01-25,Tissue,306,M,CH.0LM5
446043,51505,2013-01-26,Scat,701,M,AX.0CU4
422689,67151,2015-02-11,Scat,701,M,EF.15PX
422685,67017,2015-02-11,Scat,701,M,EF.15T0
422690,66941,2015-02-11,Scat,701,M,EF.15T2
423517,66878,2015-02-11,Scat,701,M,EF.15T3
424720,76535,2015-09-11,Scat,701,M,M0PK3
422178,76387,2015-09-11,Scat,701,M,M0PYA
423514,77463,2015-09-12,Scat,701,M,M1056
436521,79094,2016-02-11,Scat,701,M,M1155
437258,76158,2016-03-10,Scat,701,M,M1L2E
438200,80300,2016-04-29,Scat,701,M,M21KK
427843,77777,2017-02-28,Scat,701,M,M1YT2
432587,78358,2017-03-01,Urine,701,M,M1YPP
432588,78343,2017-03-01,Urine,701,M,M1YPT
424982,72578,2017-04-13,Scat,701,M,M1YF7
425954,74721,2017-04-24,Scat,701,M,M1Y0F
425543,74338,2017-04-24,Scat,701,M,M1Y0H
425508,74243,2017-04-24,Scat,701,M,M1Y0L
426929,72272,2017-04-24,Scat,701,M,M2288
445250,51945,2013-01-26,Urine,822,M,AL.0635
408324,91902,2015-06-04,Scat,822,M,EF.15P7
410106,89101,2015-09-25,Scat,822,M,M1MK8
409500,92500,2015-10-10,Scat,822,M,M1KAC
410303,93330,2015-10-31,Tissue,822,M,M2201
433368,62990,2013-01-27,Tissue,063,F,AP.07ML
606933,-118594,2013-01-27,Tissue,303,F,CH.0LM2
587344,-116385,2013-02-14,Tissue,304,M,CH.0LM3
480068,55576,2013-03-01,Urine,667,M,AL.0607
476496,58365,2015-02-16,Scat,667,M,EF.15PJ
666663,-177738,2013-03-07,Tissue,300,M,CH.0LLX
431699,198224,2013-03-14,Scat,713,M,AY.0F2K
448209,53055,2013-03-17,Urine,662,M,AL.05UP
429582,64526,2015-06-22,Scat,662,M,EF.15T6
424370,62020,2015-07-09,Saliva,662,M,EX.1JK0
425750,61550,2015-08-19,Saliva,662,M,EX.1JK2
425820,63680,2015-08-20,Saliva,662,M,EX.1JLX
448030,58323,2016-01-21,Urine,662,M,M225P
449111,52114,2016-02-21,Urine,662,M,M21KY
451400,56400,2017-02-10,Scat,662,M,M2006
447510,59620,2017-02-25,Urine,662,M,M1YPA
448677,85529,2013-03-23,Scat,697,M,AX.0CCE
449020,84868,2013-03-24,Urine,663,M,AL.05UY
453181,80311,2015-07-07,Scat,663,M,M0P8X
449322,78402,2015-11-04,Scat,663,M,M1PJ1
457300,82488,2016-02-02,Scat,663,M,M1XC5
448734,85575,2016-02-11,Scat,663,M,M0PPL
449251,84628,2016-12-06,Scat,663,M,M206H
452854,80372,2017-01-22,Urine,663,M,M203L
451503,81679,2017-01-22,Urine,663,M,M203M
445520,84103,2017-01-29,Urine,663,M,M1YYH
445519,84108,2017-01-29,Urine,663,M,M1YYJ
452220,61870,2017-02-10,Scat,663,M,M200A
458924,76244,2017-03-15,Scat,663,M,M1YF2
450207,81995,2017-04-10,Scat,663,M,M1F2J
450205,81996,2017-04-10,Scat,663,M,M1FM1
450205,81995,2017-04-10,Scat,663,M,M1FXA
448148,81575,2013-03-24,Urine,805,F,AL.05XA
467371,82254,2013-05-31,Saliva,311,M,EE.14Y0
500597,193361,2013-06-01,Scat,712,M,AY.0F2J
437488,62038,2013-06-10,Tissue,042,F,AP.07LM
437488,62038,2013-06-10,Tissue,060,F,AP.07MF
437488,62038,2013-06-10,Tissue,061,F,AP.07MH
437488,62038,2013-06-10,Tissue,062,F,AP.07MK
448790,50789,2013-07-05,Scat,714,F,AY.0F37
476439,58403,2013-07-16,Scat,715,M,AY.0F54
476268,63059,2013-08-06,Direct Saliva,720,M,EE.14PY
475362,59657,2013-08-06,Direct Saliva,721,F,EE.14T0
476268,59294,2013-08-06,Direct Saliva,722,M,EE.14T1
447917,81974,2013-09-05,Direct Saliva,717,M,EE.14LK
452223,76072,2014-09-16,Saliva,717,M,EX.1JPF
452311,76132,2014-10-03,Saliva,717,M,EE.14CK
445692,41971,2015-10-25,Scat,717,M,M0UKY
448919,82080,2013-09-05,Direct Saliva,719,M,EE.14LJ
